name,voorletter,firstname,party,residence,age,gender,seniority
            Aartsen, A.A. ,            Thierry,            VVD,            Terheijden,32,            Male,            5578 days
            Alkaya, M.Ö. ,            Mahir,            SP,            Amsterdam,33,            Male,            2360 days
            Arib, K. ,            Khadija,            PvdA,            Amsterdam,61,            Female,            1924 days
            Baarle, S.R.T. van,            Stephan,            DENK,            Rotterdam,30,            Male,            1924 days
            Becker, B. ,            Bente,            VVD,            Wassenaar,36,            Female,            1924 days
            Beertema, H.J. ,            Harm,            PVV,            Voorburg,70,            Male,            2346 days
            Berg, J.A.M.J. van den,            Joba,            CDA,            Utrecht,63,            Female,            3569 days
            Beukering-Huijbregts, M.J.T.G. van,            Marijke,            D66,            IJsselstein,50,            Female,            162 days
            Bikker, M.H. ,            Mirjam,            CU,            Gouda,39,            Female,            3569 days
            Bontenbal, H. ,            Henri,            CDA,            Rotterdam,39,            Male,            5690 days
            Boswijk, D.G. ,            Derk,            CDA,            Kockengen,33,            Male,            455 days
            Boucke, R.M. ,            Raoul,            D66,            Rotterdam,46,            Male,            455 days
            Brekelmans, R.P. ,            Ruben,            VVD,            Oisterwijk,35,            Male,            1483 days
            Campen, A.A.H. van,            Thom,            VVD,            Zwolle,32,            Male,            455 days
            Dassen, L.A.J.M. ,            Laurens,            Volt,            's-Gravenhage,36,            Male,            155 days
            Dijck, A.P.C. van,            Tony,            PVV,            's-Gravenhage,58,            Male,            455 days
            Dijk, J.J. van,            Jasper,            SP,            Utrecht,51,            Male,            2107 days
            El Yassini, Z. ,            Zohair,            VVD,            Laag-Soeren,42,            Male,            2035 days
            Ellian, U. ,            Ulysse,            VVD,            Almere,33,            Male,            455 days
            Eppink, D.J. ,            Derk Jan ,            JA21,            's-Gravenhage,63,            Male,            455 days
            Esch, E.M. van,            Eva,            PvdD,            Utrecht,36,            Female,            5385 days
            Geurts, J.L. ,            Jaco,            CDA,            Voorthuizen,51,            Male,            455 days
            Goudzwaard, M. ,            Maarten,            JA21,            Leeuwarden,42,            Male,            3569 days
            Graaf, S.J.F. van der,            Stieneke,            CU,            Groningen,37,            Female,            5690 days
            Grinwis, P.A. ,            Pieter,            CU,            's-Gravenhage,42,            Male,            455 days
            Groot, T.C. de,            Tjeerd,            D66,            Woudsend,54,            Male,            455 days
            Haan, N.L. den,            Liane,            Fractie Den Haan,            Woerden,54,            Female,            1703 days
            Hagen, K.B. ,            Kiki,            D66,            's-Gravenhage,35,            Female,            455 days
            Haverkort, E.A. ,            Erik,            VVD,            Eefde,50,            Male,            2999 days
            Heerma, P.E. ,            Pieter,            CDA,            Purmerend,44,            Male,            455 days
            Helder, L.M.J.S. ,            Lilian,            PVV,            Venlo,49,            Female,            1924 days
            Hijink, H.P.M. ,            Maarten,            SP,            Amersfoort,39,            Male,            455 days
            Hoop, H.E. de,            Habtamu,            PvdA,            Wommels,24,            Male,            455 days
            Idsinga, F.L. ,            Folkert,            VVD,            Amsterdam,50,            Male,            455 days
            Jong, L.W.E. de,            Léon,            PVV,            's-Gravenhage,39,            Male,            455 days
            Kamminga, R.J. ,            Roelien,            VVD,            Zuidbroek,44,            Female,            455 days
            Kathmann, B.C. ,            Barbara,            PvdA,            Rotterdam,44,            Female,            1924 days
            Kerseboom, S. ,            Simone,            FVD,            Maastricht,38,            Female,            4395 days
